"wasteshed","material","LCstage","disposition","tons"
"Hood River","FoodWaste","endOfLife","landfilling",3010.94817737639
"Hood River","FoodWaste","endOfLifeTransport","anaerobicDigestion",0
"Hood River","FoodWaste","endOfLifeTransport","composting",107.145
"Hood River","FoodWaste","endOfLifeTransport","landfilling",3010.94817737639
"Hood River","Glass Containers","endOfLife","landfilling",228.288642240172
"Hood River","Glass Containers","endOfLife","recycling",1339.36
"Hood River","Glass Containers","endOfLife","useAsAggregate",0
"Hood River","Glass Containers","endOfLifeTransport","landfilling",228.288642240172
"Hood River","Glass Containers","endOfLifeTransport","recycling",1339.36
"Hood River","Glass Containers","endOfLifeTransport","useAsAggregate",0
"Hood River","Nonrecyclables","endOfLife","combustion",0
"Hood River","Nonrecyclables","endOfLife","landfilling",3401.83523094988
"Hood River","Nonrecyclables","endOfLifeTransport","combustion",0
"Hood River","Nonrecyclables","endOfLifeTransport","landfilling",3401.83523094988
"Hood River","Paper Fiber","endOfLife","combustion",0
"Hood River","Paper Fiber","endOfLife","landfilling",2438.76195683302
"Hood River","Paper Fiber","endOfLife","recycling",1119.555
"Hood River","Paper Fiber","endOfLifeTransport","combustion",0
"Hood River","Paper Fiber","endOfLifeTransport","landfilling",2438.76195683302
"Hood River","Paper Fiber","endOfLifeTransport","recycling",1119.555
"Hood River","Plastic Film","endOfLife","combustion",0
"Hood River","Plastic Film","endOfLife","landfilling",1065.79399134697
"Hood River","Plastic Film","endOfLife","recycling",152.327
"Hood River","Plastic Film","endOfLifeTransport","combustion",0
"Hood River","Plastic Film","endOfLifeTransport","landfilling",1065.79399134697
"Hood River","Plastic Film","endOfLifeTransport","recycling",152.327
"Hood River","Rigid Plastic Cont.","endOfLife","combustion",0
"Hood River","Rigid Plastic Cont.","endOfLife","landfilling",378.465247219368
"Hood River","Rigid Plastic Cont.","endOfLife","recycling",163.14
"Hood River","Rigid Plastic Cont.","endOfLifeTransport","combustion",0
"Hood River","Rigid Plastic Cont.","endOfLifeTransport","landfilling",378.465247219368
"Hood River","Rigid Plastic Cont.","endOfLifeTransport","recycling",163.14
"Hood River","Scrap Metal - Other","endOfLife","landfilling",674.199245830744
"Hood River","Scrap Metal - Other","endOfLife","recycling",248.187
"Hood River","Scrap Metal - Other","endOfLifeTransport","landfilling",674.199245830744
"Hood River","Scrap Metal - Other","endOfLifeTransport","recycling",248.187
"Hood River","Wood Waste","endOfLife","combustion",92.2
"Hood River","Wood Waste","endOfLife","composting",0
"Hood River","Wood Waste","endOfLife","landfilling",3087.79499101599
"Hood River","Wood Waste","endOfLife","recycling",0
"Hood River","Wood Waste","endOfLifeTransport","combustion",92.2
"Hood River","Wood Waste","endOfLifeTransport","composting",0
"Hood River","Wood Waste","endOfLifeTransport","landfilling",3087.79499101599
"Hood River","Wood Waste","endOfLifeTransport","recycling",0
"Hood River","Yard Debris","endOfLife","anaerobicDigestion",0
"Hood River","Yard Debris","endOfLife","combustion",0
"Hood River","Yard Debris","endOfLife","composting",1022.636
"Hood River","Yard Debris","endOfLife","landfilling",639.083053018209
"Hood River","Yard Debris","endOfLifeTransport","anaerobicDigestion",0
"Hood River","Yard Debris","endOfLifeTransport","combustion",0
"Hood River","Yard Debris","endOfLifeTransport","composting",1022.636
"Hood River","Yard Debris","endOfLifeTransport","landfilling",639.083053018209
"Josephine","Cardboard/Kraft","endOfLife","combustion",0
"Josephine","Cardboard/Kraft","endOfLife","landfilling",2451.84205534038
"Josephine","Cardboard/Kraft","endOfLife","recycling",6801.699
"Josephine","Cardboard/Kraft","endOfLifeTransport","combustion",0
"Josephine","Cardboard/Kraft","endOfLifeTransport","landfilling",2451.84205534038
"Josephine","Cardboard/Kraft","endOfLifeTransport","recycling",6801.699
"Josephine","Carpeting-used","endOfLife","combustion",0
"Josephine","Carpeting-used","endOfLife","landfilling",1678.15470527062
"Josephine","Carpeting-used","endOfLife","recycling",0
"Josephine","Carpeting-used","endOfLifeTransport","combustion",0
"Josephine","Carpeting-used","endOfLifeTransport","landfilling",1678.15470527062
"Josephine","Carpeting-used","endOfLifeTransport","recycling",0
"Josephine","Electronics","endOfLife","landfilling",585.450164035871
"Josephine","Electronics","endOfLife","recycling",476.618
"Josephine","Electronics","endOfLifeTransport","landfilling",585.450164035871
"Josephine","Electronics","endOfLifeTransport","recycling",476.618
"Josephine","FoodWaste","endOfLife","anaerobicDigestion",0
"Josephine","FoodWaste","endOfLife","composting",383.995
"Josephine","FoodWaste","endOfLife","landfilling",10451.8457239083
"Josephine","FoodWaste","endOfLifeTransport","anaerobicDigestion",0
"Josephine","FoodWaste","endOfLifeTransport","composting",383.995
"Josephine","FoodWaste","endOfLifeTransport","landfilling",10451.8457239083
"Josephine","Glass Containers","endOfLife","landfilling",792.453914399101
"Josephine","Glass Containers","endOfLife","recycling",2047
"Josephine","Glass Containers","endOfLife","useAsAggregate",0
"Josephine","Glass Containers","endOfLifeTransport","landfilling",792.453914399101
"Josephine","Glass Containers","endOfLifeTransport","recycling",2047
"Josephine","Glass Containers","endOfLifeTransport","useAsAggregate",0
"Josephine","Nonrecyclables","endOfLife","combustion",0
"Josephine","Nonrecyclables","endOfLife","landfilling",11808.7243344804
"Josephine","Nonrecyclables","endOfLifeTransport","combustion",0
"Josephine","Nonrecyclables","endOfLifeTransport","landfilling",11808.7243344804
"Josephine","Paper Fiber","endOfLife","combustion",0
"Josephine","Paper Fiber","endOfLife","landfilling",8465.62684860484
"Josephine","Paper Fiber","endOfLife","recycling",3866.039
"Josephine","Paper Fiber","endOfLifeTransport","combustion",0
"Josephine","Paper Fiber","endOfLifeTransport","landfilling",8465.62684860484
"Josephine","Paper Fiber","endOfLifeTransport","recycling",3866.039
"Josephine","Plastic Film","endOfLife","combustion",0
"Josephine","Plastic Film","endOfLife","landfilling",3699.66990954107
"Josephine","Plastic Film","endOfLife","recycling",198.103
"Josephine","Plastic Film","endOfLifeTransport","combustion",0
"Josephine","Plastic Film","endOfLifeTransport","landfilling",3699.66990954107
"Josephine","Plastic Film","endOfLifeTransport","recycling",198.103
"Josephine","Rigid Plastic Cont.","endOfLife","combustion",0
"Josephine","Rigid Plastic Cont.","endOfLife","landfilling",1313.75903627953
"Josephine","Rigid Plastic Cont.","endOfLife","recycling",563.018
"Josephine","Rigid Plastic Cont.","endOfLifeTransport","combustion",0
"Josephine","Rigid Plastic Cont.","endOfLifeTransport","landfilling",1313.75903627953
"Josephine","Rigid Plastic Cont.","endOfLifeTransport","recycling",563.018
"Josephine","Scrap Metal - Other","endOfLife","landfilling",2340.33470172122
"Josephine","Scrap Metal - Other","endOfLife","recycling",6915.747
"Josephine","Scrap Metal - Other","endOfLifeTransport","landfilling",2340.33470172122
"Josephine","Scrap Metal - Other","endOfLifeTransport","recycling",6915.747
"Josephine","Wood Waste","endOfLife","combustion",2829.68
"Josephine","Wood Waste","endOfLife","composting",458.636
"Josephine","Wood Waste","endOfLife","landfilling",10718.6025703296
"Josephine","Wood Waste","endOfLife","recycling",0
"Josephine","Wood Waste","endOfLifeTransport","combustion",2829.68
"Josephine","Wood Waste","endOfLifeTransport","composting",458.636
"Josephine","Wood Waste","endOfLifeTransport","landfilling",10718.6025703296
"Josephine","Wood Waste","endOfLifeTransport","recycling",0
"Josephine","Yard Debris","endOfLife","anaerobicDigestion",0
"Josephine","Yard Debris","endOfLife","combustion",1812
"Josephine","Yard Debris","endOfLife","composting",9443.504
"Josephine","Yard Debris","endOfLife","landfilling",2218.43654603545
"Josephine","Yard Debris","endOfLifeTransport","anaerobicDigestion",0
"Josephine","Yard Debris","endOfLifeTransport","combustion",1812
"Josephine","Yard Debris","endOfLifeTransport","composting",9443.504
"Josephine","Yard Debris","endOfLifeTransport","landfilling",2218.43654603545
"Linn","Cardboard/Kraft","endOfLife","combustion",0
"Linn","Cardboard/Kraft","endOfLife","landfilling",3407.13608715635
"Linn","Cardboard/Kraft","endOfLife","recycling",20107.575
"Linn","Cardboard/Kraft","endOfLifeTransport","combustion",0
"Linn","Cardboard/Kraft","endOfLifeTransport","landfilling",3407.13608715635
"Linn","Cardboard/Kraft","endOfLifeTransport","recycling",20107.575
"Linn","Carpeting-used","endOfLife","combustion",0
"Linn","Carpeting-used","endOfLife","landfilling",2332.00235867762
"Linn","Carpeting-used","endOfLife","recycling",0
"Linn","Carpeting-used","endOfLifeTransport","combustion",0
"Linn","Carpeting-used","endOfLifeTransport","landfilling",2332.00235867762
"Linn","Carpeting-used","endOfLifeTransport","recycling",0
"Linn","Electronics","endOfLife","landfilling",813.555007254045
"Linn","Electronics","endOfLife","recycling",275.481
"Linn","Electronics","endOfLifeTransport","landfilling",813.555007254045
"Linn","Electronics","endOfLifeTransport","recycling",275.481
"Linn","FoodWaste","endOfLife","anaerobicDigestion",0
"Linn","FoodWaste","endOfLife","composting",1340.333
"Linn","FoodWaste","endOfLife","landfilling",14524.1251024935
"Linn","FoodWaste","endOfLifeTransport","anaerobicDigestion",0
"Linn","FoodWaste","endOfLifeTransport","composting",1340.333
"Linn","FoodWaste","endOfLifeTransport","landfilling",14524.1251024935
"Linn","Glass Containers","endOfLife","landfilling",1101.21217770802
"Linn","Glass Containers","endOfLife","recycling",2144.455
"Linn","Glass Containers","endOfLife","useAsAggregate",0
