material,LCstage,disposition,impactCategory,impactUnits,impactFactor,corporateSource,impactFactorID
Aluminum,endOfLife,landfilling_transport,Smog Air,kg O3 eq.,2.987853996,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,landfilling_transport,Ecotoxicity (recommended and interim),CTUe,277.6319978,USEtox 2.01,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,landfilling_transport,Ecotoxicity (recommended only),CTUe,0.122390793,USEtox 2.01,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,landfilling_transport,"Human toxicity, cancer (recommended and interim)",CTUh,3.43E-07,USEtox 2.01,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,landfilling_transport,"Human toxicity, cancer (recommended only)",CTUh,1.03E-10,USEtox 2.01,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,landfilling_transport,"Human toxicity, non-canc. (recommended and interim)",CTUh,1.04E-06,USEtox 2.01,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,landfilling_transport,"Human toxicity, non-canc. (recommended only)",CTUh,3.35E-11,USEtox 2.01,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,landfilling_transport,high characterization factor for unspecified water,m3 world equiv.,1.251647126,AWARE,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,landfilling_transport,low characterization factor for unspecified water,m3 world equiv.,1.176105775,AWARE,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,landfilling_transport,OECD+BRIC average for unspecified water,m3 world equiv.,1.220703368,AWARE,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,landfilling_transport,Blue water consumption,kg,39.13192257,NA,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,landfilling_transport,Blue water use,kg,673.2348049,NA,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,landfilling_transport,Total freshwater consumption (including rainwater),kg,252.5370488,NA,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,landfilling_transport,Total freshwater use,kg,886.6488855,NA,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,landfilling_transport,high characterization factor for unspecified water,m3 equiv.,0.018637582,WSI,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,landfilling_transport,low characterization factor for unspecified water,m3 equiv.,0.017679191,WSI,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,landfilling_transport,OECD+BRIC average for unspecified water,m3 equiv.,0.01800905,WSI,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,recyclingGeneric,Primary energy demand from ren. and non ren. resources (gross cal. value),MJ,-31942.66791,NA,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,recyclingGeneric,Primary energy demand from ren. and non ren. resources (net cal. value),MJ,-30251.28191,NA,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,recyclingGeneric,Primary energy from non renewable resources (gross cal. value),MJ,-16653.12312,NA,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,recyclingGeneric,Primary energy from non renewable resources (net cal. value),MJ,-14961.73713,NA,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,recyclingGeneric,Primary energy from renewable resources (gross cal. value),MJ,-15289.54479,NA,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,recyclingGeneric,Primary energy from renewable resources (net cal. value),MJ,-15289.54479,NA,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,recyclingGeneric,"Global Warming Air, excl biogenic carbon, incl LUC, no norm/weight",kg CO2 eq.,-2068.250811,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,recyclingGeneric,"Global Warming Air, incl biogenic carbon, incl LUC, no norm/weight",kg CO2 eq.,-2095.081959,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,recyclingGeneric,"Global Warming Air, LUC only, no norm/weight",kg CO2 eq.,0,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,recyclingGeneric,Acidification,kg SO2 eq.,-16.06463206,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,recyclingGeneric,Ecotoxicity (recommended),CTUe,-12.40291251,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,recyclingGeneric,Eutrophication,kg N eq.,-0.207070163,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,recyclingGeneric,"Global Warming Air, excl. biogenic carbon",kg CO2 eq.,-2068.250811,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,recyclingGeneric,"Global Warming Air, incl. biogenic carbon",kg CO2 eq.,-2095.081959,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,recyclingGeneric,Human Health Particulate Air,kg PM2.5 eq.,-2.794975042,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,recyclingGeneric,"Human toxicity, cancer (recommended)",CTUh,-2.23E-05,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,recyclingGeneric,"Human toxicity, non-canc. (recommended)",CTUh,-0.002618533,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,recyclingGeneric,Ozone Depletion Air,kg CFC 11 eq.,2.66E-08,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,recyclingGeneric,"Resources, Fossil fuels",MJ surplus energy,-475.2210651,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,recyclingGeneric,Smog Air,kg O3 eq.,-114.5623099,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,recyclingGeneric,Ecotoxicity (recommended and interim),CTUe,-3692148.037,USEtox 2.01,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,recyclingGeneric,Ecotoxicity (recommended only),CTUe,-0.246762782,USEtox 2.01,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,recyclingGeneric,"Human toxicity, cancer (recommended and interim)",CTUh,-3.49E-05,USEtox 2.01,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,recyclingGeneric,"Human toxicity, cancer (recommended only)",CTUh,-1.32E-08,USEtox 2.01,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,recyclingGeneric,"Human toxicity, non-canc. (recommended and interim)",CTUh,-0.003990991,USEtox 2.01,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,recyclingGeneric,"Human toxicity, non-canc. (recommended only)",CTUh,-1.81E-09,USEtox 2.01,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,recyclingGeneric,high characterization factor for unspecified water,m3 world equiv.,-4111.917653,AWARE,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,recyclingGeneric,low characterization factor for unspecified water,m3 world equiv.,-124.9240725,AWARE,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,recyclingGeneric,OECD+BRIC average for unspecified water,m3 world equiv.,-2478.73844,AWARE,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,recyclingGeneric,Blue water consumption,kg,-72261.28004,NA,IMFO - Phase III_2018-02-16 09:16:41
